ovNo,ovBalls/0,ovBalls/1,ovBalls/2,ovBalls/3,ovBalls/4,ovBalls/5,ovBalls/6,id,inningId,ovBalls/7,ovBalls/8,ovBalls/9,ovBalls/10,ovBalls/11,ovBalls/12,ovBalls/13,bowlerId
26,.,.,1,.,.,.,,72495,1721,,,,,,,,
27,1Wd,.,2,.,1,2,.,72496,1721,,,,,,,,
28,2,1,1,.,1,.,,72497,1721,,,,,,,,
29,.,1,1,.,1,.,,72498,1721,,,,,,,,
30,.,4,.,.,1,.,,72499,1721,,,,,,,,
31,.,.,.,.,1,1,,72500,1721,,,,,,,,
32,W,1Wd,1,.,.,.,W,72501,1721,,,,,,,,
33,.,.,1Wd,.,1,.,.,72502,1721,,,,,,,,
34,.,.,.,.,.,1,,72503,1721,,,,,,,,
35,.,1,.,1,.,2,,72504,1721,,,,,,,,
36,6,.,1,1,.,.,,72505,1721,,,,,,,,
37,1,.,4,1,4,.,,72506,1721,,,,,,,,
38,.,1,.,1,.,2,,72507,1721,,,,,,,,
39,.,.,W,1,.,1,,72508,1721,,,,,,,,
40,2Nb,4,.,.,1,.,.,72509,1721,,,,,,,,
41,2,.,1,.,1Wd,1,.,72510,1721,,,,,,,,
42,.,4,.,1Wd,1,1,.,72511,1721,,,,,,,,
43,4,1,.,1,W,.,,72512,1721,,,,,,,,
44,.,.,W,1,1,.,,72513,1721,,,,,,,,
45,1,1,.,4,.,1,,72514,1721,,,,,,,,
46,2,1,.,4,.,1Wd,.,72515,1721,,,,,,,,
47,2,1,W,.,.,1Wd,1Wd,72516,1721,4,,,,,,,
48,4,,,,,,,72517,1721,,,,,,,,
1,5Wd,1,1,1Nb,1,.,.,72518,1722,1,,,,,,,
2,1,.,1Lb,2,.,1,,72519,1722,,,,,,,,
3,.,W,1Wd,.,4,1Wd,.,72520,1722,1,,,,,,,
4,1,.,1,.,1,1Wd,W,72521,1722,,,,,,,,
5,.,.,1B,1,.,4,,72522,1722,,,,,,,,
6,.,.,.,1,.,.,,72523,1722,,,,,,,,
